base_id,proposal_id,sem_k,status,avar,utility
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0036_k07,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0037_k07,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0038_k07,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0040_k07,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0041_k07,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0042_k08,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0043_k08,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,17,ok,0.9870540091501255,1.0131157877176562
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,18,ok,0.5336420722089177,1.8739152178550607
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0045_k08,19,ok,0.670727275220788,1.4909189426817673
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,0,ok,0.663258190046307,1.5077084836753882
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,1,ok,0.9642180321266965,1.0371098306410866
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,2,ok,0.9807242813422488,1.0196545747102028
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,3,ok,2.242826928811835,0.4458658789734446
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,4,ok,2.1518986702478955,0.4647058961585777
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,5,ok,0.6190899386719987,1.6152741912509292
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,6,ok,1.38442810216536,0.7223199228879545
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,7,ok,0.9157201666267609,1.092036668454841
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,8,ok,2.5817196097048347,0.38733873199899077
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,9,ok,0.9063915718565577,1.1032759251630115
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,10,ok,0.7030810132510555,1.4223112004916578
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,11,ok,0.8402479087002127,1.190124949607919
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,12,ok,0.5757821296985156,1.7367680385002717
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,13,ok,1.0645823006364987,0.9393355491652586
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,14,ok,1.2783149282161306,0.7822798419443361
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,15,ok,1.3758435561431481,0.726826822377439
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,16,ok,0.6943330730839914,1.4402309766958674
c06_s01_cov100_seed152819226,c06_s01_cov100_seed152819226__p0046_k08,17,ok,0.9870540091501255,1.0131157877176562
