instance_id,generator,seed,true_dag,cpdag,corruption,corruption_rate,k_assumed_consistent,g0,treatment,outcome,space_size,n_covers,max_shell,r_val,r_opt,method,notes,z,k_true,k_assumed,desc_n_nodes,desc_n_edges,desc_n_compelled,desc_n_undirected,desc_n_components,desc_largest_component_nodes,desc_largest_component_edges,desc_knowledge_component_nodes,desc_knowledge_component_edges,desc_knowledge_component_density,desc_treatment_in_component,r_eps_0.02,r_eps_0.05,r_eps_0.1,r_eps_0.2,params_json,time_graph,time_gate,time_knowledge,time_g0_and_z,time_space,time_radius_val_opt,time_radius_eps
inst_000038,erdos_renyi,20260957,V0->V3 V1->V3 V2->V3 V5->V0 V5->V1 V5->V3,V0->V3 V1->V3 V2->V3 V5->V3 V0-V5 V1-V5,tiered,0.25,True,V0->V3 V1->V3 V2->V3 V5->V0 V5->V1 V5->V3,V0,V3,6,6,2,1,1,bfs_exact,,V1|V2|V5,V5->V0|V5->V1,V5->V0|V5->V1,6,6,4,2,1,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.25}",5.1957999999990845e-05,0.0002828329999999962,3.6124999999997964e-05,3.6332999999999505e-05,0.0006528749999999972,6.779199999999708e-05,0.005850707999999996
inst_000045,erdos_renyi,20260964,V0->V1 V0->V4 V1->V5 V2->V0 V2->V5,V1->V5 V2->V5 V0-V1 V0-V2 V0-V4,tiered,0.5,True,V0->V1 V0->V4 V1->V5 V2->V5 V0-V2,V1,V5,11,15,3,1,1,bfs_exact,,V2,V0->V1|V0->V4,V0->V1|V0->V4,6,5,2,3,1,4,3,4,3,0.5,True,1,1,1,1,"{""edge_prob"": 0.25}",4.900000000000737e-05,0.0003741659999999952,3.516700000000261e-05,5.312500000000109e-05,0.001792625000000006,0.00013495799999999059,0.007462457999999991
inst_000077,erdos_renyi,20260996,V4->V1 V5->V2 V6->V0 V6->V2 V6->V4 V6->V5,V0-V6 V1-V4 V2-V5 V2-V6 V4-V6 V5-V6,compound,0.25,True,V2->V6 V4->V1 V5->V2 V5->V6 V6->V0 V6->V4,V5,V2,81,193,10,1,2,bfs_exact,,,V5->V2|V6->V0|V6->V2|V6->V4|V6->V5,V2->V6|V5->V2|V6->V0|V6->V4,7,6,0,6,1,6,6,6,6,0.4,True,1,1,1,1,"{""edge_prob"": 0.25}",6.445900000000282e-05,0.0008917500000000106,2.8208000000001787e-05,0.00012070799999999715,0.048643042,0.0001459169999999954,0.025808958999999992
inst_000112,erdos_renyi,20261031,V0->V1 V0->V3 V3->V1 V3->V6 V6->V1 V7->V5,V0->V1 V3->V1 V6->V1 V0-V3 V3-V6 V5-V7,flip,0.25,True,V0->V1 V0->V3 V3->V1 V3->V6 V6->V1 V5-V7,V3,V1,18,30,5,1,1,bfs_exact,,V0,V0->V3|V3->V6,V0->V3|V3->V6,8,6,3,3,2,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.25}",8.199999999999874e-05,0.0005404169999999875,1.4749999999980057e-05,7.266699999999848e-05,0.0027141669999999896,9.654200000000501e-05,0.00950200000000001
inst_000116,erdos_renyi,20261035,V1->V5 V2->V3 V2->V4 V2->V7 V3->V1 V4->V3 V4->V7 V6->V1 V6->V7 V7->V3 V7->V5,V1->V5 V2->V3 V2->V7 V3->V1 V4->V3 V4->V7 V6->V1 V6->V7 V7->V3 V7->V5 V2-V4,flip,0.5,True,V1->V5 V2->V3 V2->V4 V2->V7 V3->V1 V4->V3 V4->V7 V6->V1 V6->V7 V7->V3 V7->V5,V4,V1,3,2,2,1,1,bfs_exact,,V2|V6,V2->V4,V2->V4,8,11,10,1,1,2,1,2,1,1.0,True,1,1,1,1,"{""edge_prob"": 0.25}",0.0001327500000000148,0.00023337499999998013,1.3249999999992434e-05,3.849999999999687e-05,0.00033412500000001844,6.429199999999358e-05,0.003286375000000008
inst_000133,erdos_renyi,20261052,V0->V3 V1->V2 V3->V2 V4->V0 V4->V3 V5->V3 V6->V0 V6->V1 V6->V4 V6->V5 V6->V7 V7->V2 V7->V3,V0->V3 V1->V2 V3->V2 V4->V3 V5->V3 V7->V2 V7->V3 V0-V4 V0-V6 V1-V6 V4-V6 V5-V6 V6-V7,tiered,0.25,True,V0->V3 V1->V2 V3->V2 V4->V3 V5->V3 V6->V5 V6->V7 V7->V2 V7->V3 V0-V4 V0-V6 V1-V6 V4-V6,V7,V3,98,263,6,1,1,bfs_exact,,V0|V4|V5,V6->V0|V6->V1|V6->V4|V6->V5|V6->V7,V6->V5|V6->V7,8,13,7,6,1,6,6,6,6,0.4,True,1,1,1,2,"{""edge_prob"": 0.25}",9.724999999999318e-05,0.008630625000000003,3.983299999998913e-05,0.0003543749999999901,0.088156125,0.0004935420000000135,0.0728875
inst_000142,erdos_renyi,20261061,V2->V3 V2->V6 V3->V0 V3->V6 V5->V4,V0-V3 V2-V3 V2-V6 V3-V6 V4-V5,tiered,0.5,True,V2->V3 V2->V6 V3->V0 V3->V6 V5->V4,V3,V6,96,241,8,1,1,bfs_exact,,V2,V2->V6|V3->V0|V3->V6|V5->V4,V2->V3|V2->V6|V3->V6|V5->V4,8,5,0,5,2,4,4,4,4,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.25}",6.429199999996582e-05,0.0006800419999999918,3.237500000002891e-05,8.316600000002339e-05,0.029583208000000027,0.00014695900000000206,0.02802416699999999
inst_000152,erdos_renyi,20261071,V1->V0 V1->V2 V2->V4 V4->V0,V1->V0 V4->V0 V1-V2 V2-V4,omit,0.5,True,V1->V0 V1->V2 V2->V4 V4->V0,V2,V0,6,6,4,1,1,bfs_exact,,V1,V1->V2|V2->V4,V1->V2,6,4,2,2,1,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.35}",4.704200000005265e-05,0.00018100000000004224,1.2958000000007353e-05,3.1500000000017625e-05,0.0005071670000000306,5.04170000000248e-05,0.00348441599999999
inst_000161,erdos_renyi,20261080,V0->V2 V1->V0 V1->V2 V3->V0 V3->V2 V5->V0 V5->V1 V5->V3,V0->V2 V1->V0 V1->V2 V3->V0 V3->V2 V5->V0 V1-V5 V3-V5,flip,0.25,True,V0->V2 V1->V0 V1->V2 V3->V0 V3->V2 V5->V0 V5->V1 V5->V3,V1,V2,6,6,2,1,1,bfs_exact,,V3|V5,V5->V1|V5->V3,V5->V1|V5->V3,6,8,6,2,1,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.35}",9.129200000002058e-05,0.00021779100000002272,1.4709000000001637e-05,4.016600000000814e-05,0.0006901250000000414,7.420899999999175e-05,0.0063457909999999895
inst_000168,erdos_renyi,20261087,V0->V2 V0->V5 V3->V0 V3->V1 V5->V2,V0-V2 V0-V3 V0-V5 V1-V3 V2-V5,compound,0.25,True,V0->V2 V0->V5 V1->V3 V3->V0 V5->V2,V5,V2,48,96,10,1,1,bfs_exact,,V0,V0->V5|V3->V0|V3->V1|V5->V2,V1->V3|V3->V0|V5->V2,6,5,0,5,1,5,5,5,5,0.5,True,1,1,1,1,"{""edge_prob"": 0.35}",5.466700000000824e-05,0.0004950840000000345,1.925000000002619e-05,8.71249999999657e-05,0.014577208000000008,8.808399999998828e-05,0.01790958399999998
inst_000189,erdos_renyi,20261108,V0->V1 V0->V2 V0->V3 V0->V4 V0->V5 V3->V4 V4->V2 V5->V1,V0-V1 V0-V2 V0-V3 V0-V4 V0-V5 V1-V5 V2-V4 V3-V4,tiered,0.5,True,V0->V1 V0->V2 V0->V5 V3->V0 V3->V4 V4->V2 V5->V1 V0-V4,V5,V1,414,1330,13,1,1,bfs_exact,,V0,V0->V1|V0->V2|V0->V3|V0->V5|V3->V4|V5->V1,V0->V1|V0->V2|V3->V0|V3->V4|V4->V2|V5->V1,6,8,0,8,1,6,8,6,8,0.5333333333333333,True,1,1,1,1,"{""edge_prob"": 0.35}",6.470800000002441e-05,0.0021230409999999367,3.174999999999706e-05,0.00017829200000007983,0.832597458,0.00021187500000019455,0.08588458399999999
inst_000210,erdos_renyi,20261129,V2->V1 V2->V5 V4->V3 V4->V5 V5->V1 V6->V4 V6->V5,V2->V1 V2->V5 V4->V5 V5->V1 V6->V5 V3-V4 V4-V6,flip,0.5,True,V2->V1 V2->V5 V4->V3 V4->V5 V4->V6 V5->V1 V6->V5,V4,V1,6,6,2,1,1,bfs_exact,,V2,V4->V3|V6->V4,V4->V3|V4->V6,7,7,5,2,1,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.35}",9.308299999988279e-05,0.000224333000000021,2.4249999999836902e-05,4.1709000000000884e-05,0.000677625000000015,0.00010083300000007789,0.004732292000000138
inst_000213,erdos_renyi,20261132,V1->V0 V2->V1 V4->V1 V4->V2 V4->V5 V6->V1 V6->V4 V6->V5,V1->V0 V2->V1 V4->V1 V6->V1 V2-V4 V4-V5 V4-V6 V5-V6,flip,0.5,True,V1->V0 V2->V1 V4->V1 V4->V2 V5->V4 V5->V6 V6->V1 V4-V6,V2,V1,32,59,7,2,2,bfs_exact,,V4|V6,V4->V2|V4->V5|V6->V5,V4->V2|V5->V4|V5->V6,7,8,4,4,1,4,4,4,4,0.6666666666666666,True,2,2,2,2,"{""edge_prob"": 0.35}",0.00011783300000001162,0.00121916699999991,1.8583999999988166e-05,8.070800000004041e-05,0.007254249999999907,0.0002914579999999667,0.022171124999999847
inst_000219,erdos_renyi,20261138,V0->V3 V0->V4 V1->V0 V1->V3 V1->V5 V1->V6 V2->V3 V4->V3 V4->V5 V5->V3 V6->V2 V6->V3 V6->V5,V0->V3 V1->V3 V1->V5 V2->V3 V4->V3 V4->V5 V5->V3 V6->V3 V6->V5 V0-V1 V0-V4 V1-V6 V2-V6,compound,0.25,True,V0->V3 V0->V4 V1->V0 V1->V3 V1->V5 V2->V3 V4->V3 V4->V5 V5->V3 V6->V2 V6->V3 V6->V5 V1-V6,V2,V3,15,20,5,1,1,bfs_exact,,V0|V1|V4|V5|V6,V0->V4|V1->V0|V6->V2,V1->V0|V6->V2,7,13,9,4,1,5,4,5,4,0.4,True,1,1,1,1,"{""edge_prob"": 0.35}",8.19169999999314e-05,0.0031155840000001156,2.3416999999970045e-05,0.00010816700000004786,0.006729624999999961,0.00027687499999995424,0.015185499999999852
inst_000235,erdos_renyi,20261154,V0->V2 V0->V5 V1->V0 V1->V2 V4->V3 V4->V5 V6->V0 V6->V1 V6->V2 V6->V3 V6->V5,V0->V5 V4->V3 V4->V5 V6->V3 V6->V5 V0-V1 V0-V2 V0-V6 V1-V2 V1-V6 V2-V6,tiered,0.5,True,V0->V5 V1->V0 V1->V2 V1->V6 V4->V3 V4->V5 V6->V3 V6->V5 V0-V2 V0-V6 V2-V6,V1,V2,207,540,9,1,1,bfs_exact,,,V0->V2|V1->V0|V6->V0|V6->V1|V6->V2,V1->V0|V1->V2|V1->V6,7,11,5,6,1,4,6,4,6,1.0,True,1,1,1,2,"{""edge_prob"": 0.35}",0.00013445800000000396,0.0008721660000001741,3.416600000005765e-05,0.0002214579999999522,0.13530395799999995,0.0002850830000000748,0.08082362499999984
inst_000239,erdos_renyi,20261158,V0->V2 V1->V2 V1->V6 V3->V0 V3->V2 V3->V4 V5->V0 V5->V3,V0->V2 V1->V2 V3->V2 V0-V3 V0-V5 V1-V6 V3-V4 V3-V5,tiered,0.5,True,V0->V2 V0->V3 V1->V2 V1->V6 V3->V2 V3->V4 V5->V3 V0-V5,V3,V2,96,241,9,1,1,bfs_exact,,V0|V1,V3->V0|V3->V4|V5->V0|V5->V3,V0->V3|V1->V6|V5->V3,7,8,3,5,2,4,4,4,4,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.35}",7.470800000008992e-05,0.0007544580000000689,3.712499999997121e-05,9.516700000000711e-05,0.034200999999999926,0.0004969999999999697,0.04189350000000003
inst_000252,erdos_renyi,20261171,V1->V0 V3->V4 V3->V5 V3->V7 V4->V1 V5->V0 V5->V2 V5->V4 V5->V7 V6->V1 V6->V2 V6->V3 V6->V4 V6->V7,V1->V0 V3->V4 V3->V7 V4->V1 V5->V0 V5->V2 V5->V4 V5->V7 V6->V1 V6->V2 V6->V4 V6->V7 V3-V5 V3-V6,flip,0.25,True,V1->V0 V3->V4 V3->V5 V3->V7 V4->V1 V5->V0 V5->V2 V5->V4 V5->V7 V6->V1 V6->V2 V6->V3 V6->V4 V6->V7,V3,V0,6,6,4,1,1,bfs_exact,,V6,V3->V5|V6->V3,V3->V5|V6->V3,8,14,12,2,1,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.35}",0.00021179199999998843,0.0002231249999999907,2.104199999997114e-05,5.7583000000027695e-05,0.0009664580000001699,6.208399999985126e-05,0.007612332999999971
inst_000278,erdos_renyi,20261197,V1->V0 V1->V5 V2->V5 V3->V5 V6->V3 V6->V5 V7->V0,V1->V0 V1->V5 V2->V5 V3->V5 V6->V5 V7->V0 V3-V6,tiered,0.25,True,V1->V0 V1->V5 V2->V5 V3->V5 V6->V3 V6->V5 V7->V0,V3,V5,3,2,2,1,1,bfs_exact,,V1|V2|V6,V6->V3,V6->V3,8,7,6,1,1,2,1,2,1,1.0,True,1,1,1,1,"{""edge_prob"": 0.35}",7.470799999986788e-05,0.000846916999999836,3.329200000012911e-05,3.112500000002072e-05,0.0002585419999998617,2.6458000000006976e-05,0.0025668750000000795
inst_000279,erdos_renyi,20261198,V0->V1 V0->V5 V2->V1 V2->V5 V2->V6 V3->V0 V3->V6 V6->V1,V0->V1 V0->V5 V2->V1 V2->V5 V2->V6 V3->V6 V6->V1 V0-V3,tiered,0.25,True,V0->V1 V0->V3 V0->V5 V2->V1 V2->V5 V2->V6 V3->V6 V6->V1,V0,V1,3,2,2,1,1,bfs_exact,,V2,V3->V0,V0->V3,8,8,7,1,1,2,1,2,1,1.0,True,1,1,1,1,"{""edge_prob"": 0.35}",7.116600000012241e-05,0.0004662920000000348,3.262500000000834e-05,3.4124999999995964e-05,0.0002648330000001309,5.570800000009868e-05,0.0027301250000000277
