network,x,y,arm,coverage,rep,n_k,status,g0_undirected,z_size,separation,separation_status,k_g0,r_hop,hop_method,hop_exact,r_claim,r_claim_status,r_id,phi_1,n_wrong_claims,z_valid_at_truth
Didelez_2010,Occ,HRT,D_DEGEN,1.0,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,HRT,A_TRUE,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,HRT,D_RAND,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,HRT,D_RAND,0.5,1,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,S,A_TRUE,1.0,0,1,ok,0,1,1,measured,3,1,local_up_fast,1,1,exact,1,1.0,0,1
Didelez_2010,Occ,S,D_RAND,1.0,0,1,ok,0,1,1,measured,3,1,local_up_fast,1,1,exact,1,1.0,0,1
Didelez_2010,Occ,S,D_RAND,1.0,1,1,not_amenable,2,,,,,,,,,,,,,
Didelez_2010,Occ,S,D_DEGEN,1.0,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,S,A_TRUE,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,S,D_RAND,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,S,D_RAND,0.5,1,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,Smo,A_TRUE,1.0,0,1,optimal_empty,0,,,,,,,,,,,,,
Didelez_2010,Occ,Smo,D_RAND,1.0,0,1,optimal_empty,0,,,,,,,,,,,,,
Didelez_2010,Occ,Smo,D_RAND,1.0,1,1,not_amenable,2,,,,,,,,,,,,,
Didelez_2010,Occ,Smo,D_DEGEN,1.0,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,Smo,A_TRUE,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,Smo,D_RAND,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,Smo,D_RAND,0.5,1,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,TCI,A_TRUE,1.0,0,1,ok,0,1,1,measured,3,1,local_up_fast,1,1,exact,1,1.0,0,1
Didelez_2010,Occ,TCI,D_RAND,1.0,0,1,ok,0,1,1,measured,3,1,local_up_fast,1,1,exact,1,1.0,0,1
Didelez_2010,Occ,TCI,D_RAND,1.0,1,1,not_amenable,2,,,,,,,,,,,,,
Didelez_2010,Occ,TCI,D_DEGEN,1.0,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,TCI,A_TRUE,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,TCI,D_RAND,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,TCI,D_RAND,0.5,1,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,Thist,A_TRUE,1.0,0,1,optimal_empty,0,,,,,,,,,,,,,
Didelez_2010,Occ,Thist,D_RAND,1.0,0,1,not_amenable,2,,,,,,,,,,,,,
Didelez_2010,Occ,Thist,D_RAND,1.0,1,1,not_amenable,2,,,,,,,,,,,,,
Didelez_2010,Occ,Thist,D_DEGEN,1.0,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,Thist,A_TRUE,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,Thist,D_RAND,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Occ,Thist,D_RAND,0.5,1,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Smo,Age,A_TRUE,1.0,0,1,optimal_empty,0,,,,,,,,,,,,,
Didelez_2010,Smo,Age,D_RAND,1.0,0,1,optimal_empty,0,,,,,,,,,,,,,
Didelez_2010,Smo,Age,D_RAND,1.0,1,1,not_amenable,2,,,,,,,,,,,,,
Didelez_2010,Smo,Age,D_DEGEN,1.0,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Smo,Age,A_TRUE,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Smo,Age,D_RAND,0.5,0,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Smo,Age,D_RAND,0.5,1,0,not_amenable,3,,,,,,,,,,,,,
Didelez_2010,Smo,HRT,A_TRUE,1.0,0,1,ok,0,1,2,measured,3,2,local_up_fast,1,1,exact,1,1.0,0,1
Didelez_2010,Smo,HRT,D_RAND,1.0,0,1,not_amenable,2,,,,,,,,,,,,,
Didelez_2010,Smo,HRT,D_RAND,1.0,1,1,ok,0,1,2,measured,3,2,local_up_fast,1,1,exact,1,1.0,0,1
